sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
120,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
121,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
122,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
123,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
124,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
125,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
126,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
127,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
128,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
129,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
130,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
131,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
132,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
133,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
