frame,time_s,x,y,vx_mps,vy_mps,ax_sp_mps2,ay_sp_mps2,speed_mps,true_clearance_m,mppi_min_clearance_m,compute_ms,target_idx,collision
18,1.8,2.0017289288859015,-1.1015772906904813,0.4811874070714497,0.461213655328761,-0.13522044521700755,-0.39120563290226834,0.6665278363173306,1.4382710711140982,0.44999998807907104,42.21246810629964,2,0
19,1.9,2.0811888779113574,-1.0282604080362074,0.6621662418788008,0.6109740221189484,1.5081569567279258,1.2480030565848947,0.9009735776303874,1.3532293415482062,0.0,42.24019800312817,3,0
20,2.0,2.1832884563937003,-0.937981344486229,0.8508298206861888,0.7523255295831531,1.572196490061566,1.1779292288683734,1.1357398849346907,1.235211736280054,0.0,42.09850402548909,3,0
21,2.1,2.3001371829681396,-0.8444868837194067,0.9737393881203265,0.7791205063901857,1.0242463952844798,0.22329147339193778,1.2470754425673882,1.1063341862521625,0.0,42.05077304504812,3,0
22,2.2,2.4278729536190395,-0.7480428920647226,1.0644647554241649,0.8036999304557003,0.7560447275319871,0.20482853387928815,1.3337986331357237,0.972400107558651,0.0,42.18885698355734,3,0
23,2.3,2.5507253742491556,-0.6548473670895079,1.0237701719176324,0.776629374793457,-0.33912152922110395,-0.22558796385202823,1.2850130546808987,0.8492746257508442,0.0,42.1228539198637,3,0
24,2.4,2.6771827233187633,-0.5693681423732624,1.0538112422467298,0.7123268726353791,0.250342252742478,-0.5358541846506485,1.271977872356314,0.7232716001574212,0.0,41.65546991862357,3,0
25,2.5,2.7945199236095806,-0.48829857125739495,0.9778100024234773,0.6755797592988951,-0.6333436651937718,-0.3062259444706994,1.1884950197681745,0.6148099851185415,0.0,42.504046112298965,3,0
26,2.6,2.9035668557760883,-0.412460803621514,0.9087244347208996,0.6319813969656747,-0.5757130641881474,-0.3633196861101706,1.106878757755114,0.5289295084399644,0.0,42.09556384012103,3,0
27,2.7,2.9949302566451346,-0.3437807639316045,0.7613616739087182,0.5723336640825794,-1.2280230067681779,-0.4970644406924612,0.9524901162423032,0.4766472506501686,0.0,41.611687978729606,3,0
28,2.8,3.0812283472934294,-0.28489529906641187,0.7191507554024584,0.4907122072099386,-0.35175765421883176,-0.6801788072720061,0.8706183315901269,0.44472496231984604,0.0,42.36435214988887,3,0
29,2.9,3.1594281514807565,-0.23911080425191306,0.6516650348943916,0.38153745678749007,-0.5623810042338899,-0.9097895868537375,0.7551411448436475,0.4295718030203867,0.0,43.36815397255123,3,0
30,3.0,3.222371348636979,-0.20339145773437156,0.5245266429685222,0.29766122097951236,-1.0594865993822449,-0.6989686317331477,0.6031006563243334,0.4300106837747826,0.0,41.992240119725466,3,0
