frame,time_s,x,y,z,clearance_m,risk,lidar_points,min_lidar_range_m
19,1.0555555555555556,1.0411169570374303,-2.030572200567955,1.04768094106362,1.4082233042592742,SAFE,140,0.7794277994320451
20,1.1111111111111112,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
21,1.1666666666666667,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
22,1.2222222222222223,1.140215918496816,-1.9909483625453255,1.053314891520783,1.3662658061093995,SAFE,140,0.8190516374546746
23,1.2777777777777777,1.2217259752471288,-1.951203163496491,1.0565192738862987,1.3251933069239636,SAFE,140,0.858796836503509
24,1.3333333333333333,1.2217259752471288,-1.951203163496491,1.0565192738862987,1.3251933069239636,SAFE,140,0.858796836503509
25,1.3888888888888888,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
26,1.4444444444444444,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
27,1.5,1.2790370671696567,-1.9043631400895937,1.0558938956450752,1.2786123217898027,SAFE,140,0.9056368599104063
28,1.5555555555555556,1.3297369452026082,-1.8387747412062396,1.0572547856599694,1.2124602212320703,SAFE,140,0.9712252587937604
29,1.6111111111111112,1.3297369452026082,-1.8387747412062396,1.0572547856599694,1.2124602212320703,SAFE,140,0.9712252587937604
30,1.6666666666666667,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
31,1.7222222222222223,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
32,1.7777777777777777,1.397668467527248,-1.7687199405085323,1.055999296459202,1.1429254583746193,SAFE,140,1.0412800594914677
33,1.8333333333333333,1.4754613603716837,-1.7199854091026343,1.0456267861051685,1.09847785310911,SAFE,140,1.0900145908973657
34,1.8888888888888888,1.4754613603716837,-1.7199854091026343,1.0456267861051685,1.09847785310911,SAFE,140,1.0900145908973657
35,1.9444444444444444,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
36,2.0,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
37,2.0555555555555554,1.5524444252345517,-1.6739575430309641,1.0346680913792612,1.0235182458068086,SAFE,140,1.136042456969036
38,2.111111111111111,1.6456623332529916,-1.6092887422282907,1.0312962309633735,0.9106440730044659,SAFE,140,1.2007112577717094
39,2.1666666666666665,1.6456623332529916,-1.6092887422282907,1.0312962309633735,0.9106440730044659,SAFE,140,1.2007112577717094
40,2.2222222222222223,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
41,2.2777777777777777,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
42,2.3333333333333335,1.7574007308945516,-1.5403838515370762,1.0354817148125839,0.8365022168731248,SAFE,140,1.2696161484629238
43,2.388888888888889,1.85161079035309,-1.4639885607189287,1.042568193235136,0.7630422644433306,SAFE,140,1.3460114392810714
44,2.4444444444444446,1.85161079035309,-1.4639885607189287,1.042568193235136,0.7630422644433306,SAFE,140,1.3460114392810714
45,2.5,1.925845392380069,-1.3801056680472852,1.0440777590195993,0.6797846510231634,SAFE,140,1.4298943319527149
46,2.5555555555555554,1.925845392380069,-1.3801056680472852,1.0440777590195993,0.6797846510231634,SAFE,140,1.4298943319527149
47,2.611111111111111,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
48,2.6666666666666665,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
49,2.7222222222222223,1.9883303164794932,-1.3251001839603966,1.043411031747639,0.6245029972882402,SAFE,140,1.4848998160396034
50,2.7777777777777777,2.053572646204388,-1.3025717497193927,1.0370279645523337,0.6163579944165279,SAFE,140,1.4764273537956116
