sequence,case_id,planner,time_s,speed_mps,speed_bin,metric_frame,uav_profile,uav_profile_label,recorded_clearance_at_t_m,sensor_hz,sensor_period_ms,sensor_pipeline_ms,raw_costmap_update_ms,costmap_update_ms,raw_planner_compute_ms,planner_compute_ms,control_publish_ms,costmap_scale,planner_scale,total_delay_ms,delay_distance_m,goal_lookahead_s,min_clearance_m,collision,safety_violation,status,planner_failed,failure_reason,occupied_costmap_cells,costmap_width,costmap_height,costmap_layers
2,2,rrt,5.8625,0.9444,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.8071,10.0,100.0,20.0,0.473,3.709,0.296,5.591,15.0,1.5,2.0,144.3,0.1371,1.5,1.7811,0,0,safe,0,,4500,49,45,45
2,3,rrt,6.225,0.9921,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.5534,10.0,100.0,20.0,0.446,3.669,0.292,5.584,15.0,1.5,2.0,144.254,0.1444,1.5,1.6545,0,0,safe,0,,4560,45,45,45
2,4,rrt,6.5875,1.0302,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.3059,10.0,100.0,20.0,0.382,3.572,0.29,5.581,15.0,1.5,2.0,144.153,0.1488,1.5,1.6129,0,0,safe,0,,4680,43,45,45
2,5,rrt,6.95,1.0522,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0768,10.0,100.0,20.0,0.387,3.58,0.289,5.577,15.0,1.5,2.0,144.157,0.1501,1.5,1.6179,0,0,safe,0,,4590,43,45,45
2,6,rrt,7.3,1.0719,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.8807,10.0,100.0,20.0,0.682,4.023,0.306,5.611,15.0,1.5,2.0,144.635,0.1554,1.5,1.6228,0,0,safe,0,,4590,44,44,45
2,7,rrt,7.6625,1.0885,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.7184,10.0,100.0,20.0,0.546,3.819,0.302,5.605,15.0,1.5,2.0,144.424,0.1579,1.5,1.6212,0,0,safe,0,,4680,44,44,45
2,0,rrt_star,5.15,0.8312,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.3162,10.0,100.0,20.0,0.497,3.745,0.291,5.582,15.0,1.5,2.0,144.327,0.1219,1.5,2.1728,0,0,safe,0,,4560,55,45,45
2,1,rrt_star,5.5125,0.8947,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.0588,10.0,100.0,20.0,0.484,3.727,0.286,5.572,15.0,1.5,2.0,144.299,0.1308,1.5,1.9585,0,0,safe,0,,4500,52,45,45
2,2,rrt_star,5.8625,0.9444,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.8071,10.0,100.0,20.0,0.473,3.71,0.285,5.57,15.0,1.5,2.0,144.281,0.137,1.5,1.7812,0,0,safe,0,,4500,49,45,45
2,3,rrt_star,6.225,0.9921,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.5534,10.0,100.0,20.0,0.425,3.637,0.292,5.583,15.0,1.5,2.0,144.221,0.1443,1.5,1.6545,0,0,safe,0,,4560,45,45,45
2,4,rrt_star,6.5875,1.0302,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.3059,10.0,100.0,20.0,0.454,3.68,0.284,5.568,15.0,1.5,2.0,144.249,0.1489,1.5,1.6129,0,0,safe,0,,4680,43,45,45
2,5,rrt_star,6.95,1.0522,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0768,10.0,100.0,20.0,0.386,3.58,0.283,5.566,15.0,1.5,2.0,144.146,0.1501,1.5,1.6179,0,0,safe,0,,4590,43,45,45
2,6,rrt_star,7.3,1.0719,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.8807,10.0,100.0,20.0,0.393,3.589,0.284,5.569,15.0,1.5,2.0,144.158,0.1549,1.5,1.6228,0,0,safe,0,,4590,44,44,45
2,7,rrt_star,7.6625,1.0885,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.7184,10.0,100.0,20.0,0.398,3.598,0.284,5.568,15.0,1.5,2.0,144.165,0.1576,1.5,1.6212,0,0,safe,0,,4680,44,44,45
2,0,mppi,5.15,0.8312,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.3162,10.0,100.0,20.0,0.556,3.834,15.868,36.735,15.0,1.5,2.0,175.57,0.1493,1.5,2.1586,0,0,safe,0,,4500,55,45,45
2,1,mppi,5.5125,0.8947,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,3.0588,10.0,100.0,20.0,0.857,4.286,14.624,34.248,15.0,1.5,2.0,173.533,0.1579,1.5,1.9402,0,0,safe,0,,4500,52,45,45
2,2,mppi,5.8625,0.9444,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.8071,10.0,100.0,20.0,0.61,3.916,14.724,34.448,15.0,1.5,2.0,173.363,0.1652,1.5,1.7687,0,0,safe,0,,4500,49,45,45
2,3,mppi,6.225,0.9921,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.5534,10.0,100.0,20.0,2.214,6.32,14.593,34.186,15.0,1.5,2.0,175.507,0.1761,1.5,1.6483,0,0,safe,0,,4560,45,45,45
2,4,mppi,6.5875,1.0302,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.3059,10.0,100.0,20.0,0.446,3.668,13.253,31.506,15.0,1.5,2.0,170.174,0.1738,1.5,1.613,0,0,safe,0,,4650,43,45,45
2,5,mppi,6.95,1.0522,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.0768,10.0,100.0,20.0,0.744,4.116,14.917,34.834,15.0,1.5,2.0,173.951,0.1847,1.5,1.6188,0,0,safe,0,,4530,44,45,45
