sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate
199,2,0.8761,0.6761,4.9859,354,0,0,0,0.5,8.2458,10.9718,0.7515,right,0.0981,mppi,51.7703,60,0.000218,621,159,0,0,0,0.0,0.0
201,2,0.1874,-0.0126,7.0845,503,0,1,1,0.5,8.2055,10.507,0.781,straight/near-center,0.1516,human,0.0,747,0.730324,605,45,87,10,168,0.1299,0.2249
201,2,0.0921,-0.1079,5.2535,373,0,1,1,0.5,7.3727,10.507,0.7017,straight/near-center,0.1202,straight_line,2.6064,2,0.0,545,62,104,36,210,0.1874,0.2811
201,2,0.9141,0.7141,4.8873,347,0,0,0,0.5,7.6612,10.507,0.7291,right,0.1066,geometric_bypass,5.4399,3,0.00022,617,130,0,0,0,0.0,0.0
201,2,0.7011,0.5011,5.0141,356,0,0,0,0.5,7.9664,10.507,0.7582,left,0.0986,astar_grid,16.5232,63,0.013303,573,174,0,0,0,0.0,0.0
201,2,0.7675,0.5675,5.8451,415,0,0,0,0.5,8.1388,10.507,0.7746,right,0.1136,rrt,4.625,3,0.001159,630,117,0,0,0,0.0,0.0
201,2,0.7028,0.5028,5.4366,386,0,0,0,0.5,7.5175,10.507,0.7155,left,0.1094,rrt_star,1746.902,8,0.000171,541,206,0,0,0,0.0,0.0
201,2,0.9141,0.7141,4.9014,348,0,0,0,0.5,7.6566,10.507,0.7287,right,0.0921,mppi,52.9029,60,0.000172,618,129,0,0,0,0.0,0.0
202,2,0.1949,-0.0051,7.0986,504,0,1,1,0.5,7.2912,10.3099,0.7072,straight/near-center,0.1384,human,0.0,733,0.841524,609,40,79,5,155,0.1146,0.2115
202,2,0.0511,-0.1489,5.2254,371,0,1,1,0.5,7.0666,10.3099,0.6854,straight/near-center,0.1106,straight_line,2.6267,2,0.0,526,62,105,40,216,0.1978,0.2947
202,2,0.9199,0.7199,5.5634,395,0,0,0,0.5,7.2915,10.3099,0.7072,left,0.1071,geometric_bypass,5.3767,3,0.000208,549,184,0,0,0,0.0,0.0
202,2,0.7057,0.5057,4.6056,327,0,0,0,0.5,7.5873,10.3099,0.7359,left,0.0928,astar_grid,14.4469,60,0.01026,547,186,0,0,0,0.0,0.0
